dataset_name,image_category,feature_algo,pair_index,keypoints_count_img1,keypoints_count_img2,raw_matches_count,good_matches_count,ransac_inliers_count,inlier_ratio,homography_success,stitch_success,runtime_seconds,failure_reason,notes
01_landscape_rich_texture/set_landscape_1,01_landscape_rich_texture,sift,01,4000,4001,4000,1390,1209,0.869784,True,True,0.636612,,full batch experiment
01_landscape_rich_texture/set_landscape_1,01_landscape_rich_texture,sift,02,4001,4000,4001,1112,956,0.859712,True,True,0.647671,,full batch experiment
01_landscape_rich_texture/set_landscape_1,01_landscape_rich_texture,sift,03,4000,4000,4000,401,323,0.805486,True,True,0.661428,,full batch experiment
01_landscape_rich_texture/set_landscape_1,01_landscape_rich_texture,orb,01,4000,4000,4000,1277,1182,0.925607,True,True,0.730385,,full batch experiment
01_landscape_rich_texture/set_landscape_1,01_landscape_rich_texture,orb,02,4000,4000,4000,1185,1060,0.894515,True,True,0.731889,,full batch experiment
01_landscape_rich_texture/set_landscape_1,01_landscape_rich_texture,orb,03,4000,4000,4000,347,270,0.778098,True,True,0.719526,,full batch experiment
01_landscape_rich_texture/set_landscape_1,01_landscape_rich_texture,akaze,01,1985,1503,1985,844,700,0.829384,True,True,0.515051,,full batch experiment
01_landscape_rich_texture/set_landscape_1,01_landscape_rich_texture,akaze,02,1503,1774,1503,623,518,0.831461,True,True,0.517759,,full batch experiment
01_landscape_rich_texture/set_landscape_1,01_landscape_rich_texture,akaze,03,1774,3660,1774,264,212,0.803030,True,True,0.524219,,full batch experiment
01_landscape_rich_texture/set_landscape_2,01_landscape_rich_texture,sift,01,2933,4000,2933,541,423,0.781885,True,True,0.679859,,full batch experiment
01_landscape_rich_texture/set_landscape_2,01_landscape_rich_texture,sift,02,4000,4002,4000,469,339,0.722814,True,True,0.689800,,full batch experiment
01_landscape_rich_texture/set_landscape_2,01_landscape_rich_texture,sift,03,4002,4001,4002,366,246,0.672131,True,True,0.705135,,full batch experiment
01_landscape_rich_texture/set_landscape_2,01_landscape_rich_texture,orb,01,4000,4000,4000,561,488,0.869875,True,True,0.687521,,full batch experiment
01_landscape_rich_texture/set_landscape_2,01_landscape_rich_texture,orb,02,4000,4000,4000,283,199,0.703180,True,True,0.693085,,full batch experiment
01_landscape_rich_texture/set_landscape_2,01_landscape_rich_texture,orb,03,4000,4000,4000,173,128,0.739884,True,True,0.689195,,full batch experiment
01_landscape_rich_texture/set_landscape_2,01_landscape_rich_texture,akaze,01,1699,1388,1699,282,239,0.847518,True,True,0.388327,,full batch experiment
01_landscape_rich_texture/set_landscape_2,01_landscape_rich_texture,akaze,02,1388,1803,1388,198,131,0.661616,True,True,0.388112,,full batch experiment
01_landscape_rich_texture/set_landscape_2,01_landscape_rich_texture,akaze,03,1803,1624,1803,234,203,0.867521,True,True,0.392926,,full batch experiment
01_landscape_rich_texture/set_landscape_3,01_landscape_rich_texture,sift,01,4000,4000,4000,145,81,0.558621,True,True,0.658671,,full batch experiment
01_landscape_rich_texture/set_landscape_3,01_landscape_rich_texture,sift,02,4000,4000,4000,158,109,0.689873,True,True,0.635803,,full batch experiment
01_landscape_rich_texture/set_landscape_3,01_landscape_rich_texture,sift,03,4000,4000,4000,56,35,0.625000,True,True,0.645504,,full batch experiment
01_landscape_rich_texture/set_landscape_3,01_landscape_rich_texture,orb,01,4000,4000,4000,212,130,0.613208,True,True,0.659066,,full batch experiment
01_landscape_rich_texture/set_landscape_3,01_landscape_rich_texture,orb,02,4000,4000,4000,158,119,0.753165,True,True,0.663353,,full batch experiment
01_landscape_rich_texture/set_landscape_3,01_landscape_rich_texture,orb,03,4000,4000,4000,79,40,0.506329,True,True,0.673807,,full batch experiment
01_landscape_rich_texture/set_landscape_3,01_landscape_rich_texture,akaze,01,3491,4854,3491,333,216,0.648649,True,True,0.747714,,full batch experiment
01_landscape_rich_texture/set_landscape_3,01_landscape_rich_texture,akaze,02,4854,6937,4854,401,259,0.645885,True,True,0.799220,,full batch experiment
01_landscape_rich_texture/set_landscape_3,01_landscape_rich_texture,akaze,03,6937,6906,6937,248,123,0.495968,True,True,0.845466,,full batch experiment
02_city_architecture/set_city_1,02_city_architecture,sift,01,4001,4000,4001,734,613,0.835150,True,True,0.749393,,full batch experiment
02_city_architecture/set_city_1,02_city_architecture,sift,02,4000,4000,4000,948,864,0.911392,True,True,0.765616,,full batch experiment
02_city_architecture/set_city_1,02_city_architecture,sift,03,4000,3549,4000,759,622,0.819499,True,True,0.916458,,full batch experiment
02_city_architecture/set_city_1,02_city_architecture,orb,01,4000,4000,4000,490,402,0.820408,True,True,1.000644,,full batch experiment
02_city_architecture/set_city_1,02_city_architecture,orb,02,4000,4000,4000,411,373,0.907543,True,True,1.006149,,full batch experiment
02_city_architecture/set_city_1,02_city_architecture,orb,03,4000,4000,4000,431,291,0.675174,True,True,1.033191,,full batch experiment
02_city_architecture/set_city_1,02_city_architecture,akaze,01,2884,3047,2884,485,421,0.868041,True,True,0.662042,,full batch experiment
02_city_architecture/set_city_1,02_city_architecture,akaze,02,3047,2741,3047,613,507,0.827080,True,True,0.682114,,full batch experiment
02_city_architecture/set_city_1,02_city_architecture,akaze,03,2741,2282,2741,488,424,0.868852,True,True,0.660524,,full batch experiment
02_city_architecture/set_city_2,02_city_architecture,sift,01,4000,4001,4000,699,643,0.919886,True,True,0.771922,,full batch experiment
02_city_architecture/set_city_2,02_city_architecture,sift,02,4001,4000,4001,634,566,0.892744,True,True,0.781654,,full batch experiment
02_city_architecture/set_city_2,02_city_architecture,sift,03,4000,4001,4000,585,514,0.878632,True,True,0.799035,,full batch experiment
02_city_architecture/set_city_2,02_city_architecture,orb,01,4000,4000,4000,1037,806,0.777242,True,True,0.709528,,full batch experiment
02_city_architecture/set_city_2,02_city_architecture,orb,02,4000,4000,4000,776,707,0.911082,True,True,0.724615,,full batch experiment
02_city_architecture/set_city_2,02_city_architecture,orb,03,4000,4000,4000,392,355,0.905612,True,True,0.722597,,full batch experiment
02_city_architecture/set_city_2,02_city_architecture,akaze,01,3626,2847,3626,709,587,0.827927,True,True,0.525611,,full batch experiment
